"street","hondius_1612","berckenrode_1625","ram_1692","loman_1876","pw_1909","pw_1943","pw_1985"
"https://adamlink.nl/geo/street/doelenhofje-oude/7850",,,,"yes",,,
"https://adamlink.nl/geo/street/dolfijnengang/6342",,,,"yes","yes","no",
"https://adamlink.nl/geo/street/dollebegijnensteeg/1055",,"yes","yes",,,,
"https://adamlink.nl/geo/street/dolphijngang/6944",,,,"yes",,"yes","no"
"https://adamlink.nl/geo/street/donkere-gang/6821",,,,"yes","yes","no",
"https://adamlink.nl/geo/street/drie-aschtonnengang/6714",,,,"yes",,,
"https://adamlink.nl/geo/street/drie-engelengang/6927",,,,"yes",,"yes","no"
"https://adamlink.nl/geo/street/drie-hoedjesgang/6805",,,,"yes","no",,
"https://adamlink.nl/geo/street/drie-koningengang/6729",,,,,"yes","no",
"https://adamlink.nl/geo/street/drie-korenschoven-of-fortuinengang/6703",,,,"yes","yes","no",
"https://adamlink.nl/geo/street/drie-leligang/6880",,,,"yes","yes","no",
"https://adamlink.nl/geo/street/drie-rijstbossengang/6943",,,,"yes","no",,
"https://adamlink.nl/geo/street/drie-roemersgang/6038",,,,"yes",,,
"https://adamlink.nl/geo/street/drie-roemersgang/6811",,,,"yes",,,
"https://adamlink.nl/geo/street/drie-spaarpottengang/6841",,,,,"yes","no",
"https://adamlink.nl/geo/street/driehoekstraat/1095",,,"yes",,,,
"https://adamlink.nl/geo/street/driekaartengang/6669",,,,"yes","yes","no",
"https://adamlink.nl/geo/street/driekoningenstraat/1096",,"yes","yes",,,,
"https://adamlink.nl/geo/street/driemorianengang/7851",,,,"yes",,,
"https://adamlink.nl/geo/street/drieringengang/7852",,,,"yes",,,
"https://adamlink.nl/geo/street/dubbele-gang/6780",,,,"yes",,,
"https://adamlink.nl/geo/street/dubbele-sterrengang/6678",,,,"yes","yes","no",
"https://adamlink.nl/geo/street/dubbele-zoutzaksteeg/6840",,,,"yes",,,
"https://adamlink.nl/geo/street/dubbeleworststeeg/1105",,,"yes",,,,
"https://adamlink.nl/geo/street/duifjesgang/6671",,,,"yes","no",,
"https://adamlink.nl/geo/street/duifjesgang/7853",,,,"yes",,,
"https://adamlink.nl/geo/street/duifjessteeg/1112",,,"yes",,,,
"https://adamlink.nl/geo/street/duivengang/5699",,,,"yes","yes","no",
