"street","straatnaam","minbouwjaar"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004019","Koekoeksstraat","1919"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002377","Oosterdoksstraat","2008"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002623","Aalbersestraat","1955"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001476","Morrahof","1998"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005516","Mijndenhof","1981"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001530","Dors","1994"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004283","Mataramstraat","1978"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002489","Bastingstraat","1970"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003078","Callantsoogstraat","1965"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001396","Bodenseehof","1998"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003267","Dirk Bonsstraat","1953"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003567","Hoendiepstraat","1934"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000001179","Vlimmerenstraat","1992"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004057","Kralenbeek","1974"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003463","Jasonstraat","1931"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004760","Oude Hoogstraat","1738"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003748","Grimburgwal","1887"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300011951238","Michiel de Ruijtertunnel","2015"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000003831","Muurbloemstraat","1921"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000002477","Barkpad","1987"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000004925","Witte de Withstraat","1912"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005684","Dickenslaan","1983"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000005847","Bulgerstein","1900"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300000006031","Teldershof","2008"
"http://bag.basisregistraties.overheid.nl/bag/id/openbare-ruimte/0363300011951213","Akkerdistelstraat","2016"
